lp_a
----------------
line no, output 1
1, 1.37037
2, 1.36963
3, 1.36889
4, 1.36815
5, 1.36741
6, 1.36667
7, 1.36593
8, 1.36519
9, 1.36444
10, 1.3637
11, 1.36296
12, 1.36222
13, 1.36148
14, 1.36074
15, 1.36
16, 1.35926
17, 1.35852
18, 1.35778
19, 1.35704
20, 1.3563
21, 1.35556
22, 1.35481
23, 1.35407
24, 1.35333
25, 1.35259
26, 1.35185
27, 1.35111
28, 1.35037
29, 1.34963
30, 1.34889
31, 1.34815
32, 1.34741
33, 1.34667
34, 1.34593
35, 1.34519
36, 1.34444
37, 1.3437
38, 1.34296
39, 1.34222
40, 1.34148
41, 1.34074
42, 1.34
43, 1.33926
44, 1.33852
45, 1.33778
46, 1.33704
47, 1.3363
48, 1.33556
49, 1.33481
50, 1.33407
51, 1.33333
52, 1.33259
53, 1.33185
54, 1.33111
55, 1.33037
56, 1.32963
57, 1.32889
58, 1.32815
59, 1.32741
60, 1.32667
61, 1.32593
62, 1.32519
63, 1.32444
64, 1.3237
65, 1.32296
66, 1.32222
67, 1.32148
68, 1.32074
69, 1.32
70, 1.31926
71, 1.31852
72, 1.31778
73, 1.31704
74, 1.3163
75, 1.31556
76, 1.31481
77, 1.31407
78, 1.31333
79, 1.31259
80, 1.31185
81, 1.31111
82, 1.31037
83, 1.30963
84, 1.30889
85, 1.30815
86, 1.30741
87, 1.30667
88, 1.30593
89, 1.30519
90, 1.30444
91, 1.3037
92, 1.30296
93, 1.30222
94, 1.30148
95, 1.30074
96, 1.3
97, 1.29926
98, 1.29852
99, 1.29778
100, 1.29704
101, 1.2963
102, 1.29556
103, 1.29481
104, 1.29407
105, 1.29333
106, 1.29259
107, 1.29185
108, 1.29111
109, 1.29037
110, 1.28963
111, 1.28889
112, 1.28815
113, 1.28741
114, 1.28667
115, 1.28593
116, 1.28519
117, 1.28444
118, 1.2837
119, 1.28296
120, 1.28222
121, 1.28148
122, 1.28074
123, 1.28
124, 1.27926
125, 1.27852
126, 1.27778
127, 1.27704
128, 1.2763
129, 1.27556
130, 1.27481
131, 1.27407
132, 1.27333
133, 1.27259
134, 1.27185
135, 1.27111
136, 1.27037
137, 1.26963
138, 1.26889
139, 1.26815
140, 1.26741
141, 1.26667
142, 1.26593
143, 1.26519
144, 1.26444
145, 1.2637
146, 1.26296
147, 1.26222
148, 1.26148
149, 1.26074
150, 1.26
151, 1.25926
152, 1.25852
153, 1.25778
154, 1.25704
155, 1.2563
156, 1.25556
157, 1.25481
158, 1.25407
159, 1.25333
160, 1.25259
161, 1.25185
162, 1.25111
