lp_b
----------------
line no, output 1
1, 1
2, 0.928571
3, 0.928571
4, 0.928572
5, 0.928571
6, 0.928571
7, 0.928572
8, 0.928571
9, 0.928571
10, 0.928571
11, 0.928572
12, 0.928572
13, 0.928572
14, 0.928571
15, 0.928572
16, 0.928572
17, 0.928571
18, 0.928572
19, 0.928571
20, 0.928572
21, 0.928572
22, 0.928572
23, 0.928572
24, 0.928572
25, 0.928572
26, 0.92857
27, 0.928572
28, 0.928572
29, 0.928572
30, 0.928572
31, 0.928572
32, 0.928572
33, 0.92857
34, 0.928572
35, 0.928572
36, 0.928572
37, 0.92857
38, 0.928574
39, 0.92857
40, 0.928574
41, 0.92857
42, 0.928574
43, 0.92857
44, 0.92857
45, 0.928574
46, 0.92857
47, 0.928574
48, 0.92857
49, 0.928574
50, 0.92857
51, 0.92857
52, 0.928574
53, 0.92857
54, 0.928574
55, 0.92857
56, 0.928574
57, 0.92857
58, 0.92857
59, 0.928574
60, 0.92857
61, 0.928574
62, 0.92857
63, 0.928574
64, 0.92857
65, 0.92857
66, 0.928574
67, 0.92857
68, 0.928574
69, 0.92857
70, 0.92857
71, 0.928574
72, 0.928574
73, 0.928566
74, 0.928574
75, 0.928574
76, 0.928574
77, 0.928566
78, 0.928574
79, 0.928574
80, 0.928566
81, 0.928574
82, 0.928574
83, 0.928574
84, 0.928566
85, 0.928574
86, 0.928574
87, 0.928566
88, 0.928574
89, 0.928574
90, 0.928574
91, 0.928566
92, 0.928574
93, 0.928574
94, 0.928566
95, 0.928574
96, 0.928574
97, 0.928574
98, 0.928566
99, 0.928574
100, 0.928574
101, 0.928566
102, 0.928574
103, 0.928574
104, 0.928574
105, 0.928566
106, 0.928574
107, 0.928574
108, 0.928566
109, 0.928574
110, 0.928574
111, 0.928574
112, 0.928566
113, 0.928574
114, 0.928574
115, 0.928566
116, 0.928574
117, 0.928574
118, 0.928574
119, 0.928566
120, 0.928574
121, 0.928574
122, 0.928566
123, 0.928574
124, 0.928574
125, 0.928574
126, 0.928566
127, 0.928574
128, 0.928574
129, 0.928566
130, 0.928574
131, 0.928574
132, 0.928574
133, 0.928566
134, 0.928574
135, 0.928574
136, 0.928566
137, 0.928574
138, 0.928574
139, 0.928566
140, 0.928574
141, 0.928574
142, 0.928574
143, 0.928574
144, 0.928574
145, 0.928558
146, 0.928574
147, 0.928574
148, 0.928574
149, 0.928574
150, 0.928574
151, 0.928574
152, 0.928558
153, 0.928574
154, 0.928574
155, 0.928574
156, 0.928574
157, 0.928574
158, 0.928574
159, 0.928558
160, 0.928574
161, 0.928574
162, 0.928574
163, 0.928574
164, 0.928574
165, 0.928574
166, 0.928558
167, 0.928574
168, 0.928574
169, 0.928574
170, 0.928574
171, 0.928574
172, 0.928574
173, 0.928558
174, 0.928574
175, 0.928574
176, 0.928574
177, 0.928574
178, 0.928574
179, 0.928574
180, 0.928558
181, 0.928574
182, 0.928574
183, 0.928574
184, 0.928574
185, 0.928574
186, 0.928574
187, 0.928558
188, 0.928574
189, 0.928574
190, 0.928574
191, 0.928574
192, 0.928574
193, 0.928574
194, 0.928558
195, 0.928574
196, 0.928574
197, 0.928574
198, 0.928574
199, 0.928574
200, 0.928574
201, 0.928558
202, 0.928574
203, 0.928574
204, 0.928574
205, 0.928574
206, 0.928574
207, 0.928574
208, 0.928558
209, 0.928574
210, 0.928574
211, 0.928574
212, 0.928574
213, 0.928574
214, 0.928574
215, 0.928558
216, 0.928574
217, 0.928574
218, 0.928574
219, 0.928574
220, 0.928574
221, 0.928574
222, 0.928558
223, 0.928574
224, 0.928574
225, 0.928574
226, 0.928574
227, 0.928574
228, 0.928574
229, 0.928558
230, 0.928574
231, 0.928574
232, 0.928574
233, 0.928574
234, 0.928574
235, 0.928574
236, 0.928558
237, 0.928574
238, 0.928574
239, 0.928574
240, 0.928574
241, 0.928574
242, 0.928574
243, 0.928558
244, 0.928574
245, 0.928574
246, 0.928574
247, 0.928574
248, 0.928574
249, 0.928574
250, 0.928558
251, 0.928574
252, 0.928574
253, 0.928574
254, 0.928574
255, 0.928574
256, 0.928574
257, 0.928558
258, 0.928574
259, 0.928574
260, 0.928574
261, 0.928574
262, 0.928574
263, 0.928574
264, 0.928558
265, 0.928574
266, 0.928574
267, 0.928574
268, 0.928574
269, 0.928574
270, 0.928574
271, 0.928558
272, 0.928574
273, 0.928574
274, 0.928574
275, 0.928574
276, 0.928574
277, 0.928558
278, 0.928589
279, 0.928558
280, 0.928589
281, 0.928558
282, 0.928558
283, 0.928589
284, 0.928558
285, 0.928589
286, 0.928558
287, 0.928589
288, 0.928558
289, 0.928558
290, 0.928589
291, 0.928558
292, 0.928589
293, 0.928558
294, 0.928589
295, 0.928558
296, 0.928558
297, 0.928589
298, 0.928558
299, 0.928589
300, 0.928558
301, 0.928589
302, 0.928558
303, 0.928558
304, 0.928589
305, 0.928558
306, 0.928589
307, 0.928558
308, 0.928589
309, 0.928558
310, 0.928558
311, 0.928589
312, 0.928558
313, 0.928589
314, 0.928558
315, 0.928589
316, 0.928558
317, 0.928558
318, 0.928589
319, 0.928558
320, 0.928589
321, 0.928558
322, 0.928589
323, 0.928558
324, 0.928558
325, 0.928589
326, 0.928558
327, 0.928589
328, 0.928558
329, 0.928589
330, 0.928558
331, 0.928558
332, 0.928589
333, 0.928558
334, 0.928589
335, 0.928558
336, 0.928589
337, 0.928558
338, 0.928558
339, 0.928589
340, 0.928558
341, 0.928589
342, 0.928558
343, 0.928589
344, 0.928558
345, 0.928558
346, 0.928589
347, 0.928558
348, 0.928589
349, 0.928558
350, 0.928589
351, 0.928558
352, 0.928558
353, 0.928589
354, 0.928558
355, 0.928589
356, 0.928558
357, 0.928589
358, 0.928558
359, 0.928558
360, 0.928589
361, 0.928558
362, 0.928589
363, 0.928558
364, 0.928589
365, 0.928558
366, 0.928558
367, 0.928589
368, 0.928558
369, 0.928589
370, 0.928558
371, 0.928589
372, 0.928558
373, 0.928558
374, 0.928589
375, 0.928558
376, 0.928589
377, 0.928558
378, 0.928589
379, 0.928558
380, 0.928558
381, 0.928589
382, 0.928558
383, 0.928589
384, 0.928558
385, 0.928589
386, 0.928558
387, 0.928558
388, 0.928589
389, 0.928558
390, 0.928589
391, 0.928558
392, 0.928589
393, 0.928558
394, 0.928558
395, 0.928589
396, 0.928558
397, 0.928589
398, 0.928558
399, 0.928589
400, 0.928558
401, 0.928558
402, 0.928589
403, 0.928558
404, 0.928589
405, 0.928558
406, 0.928589
407, 0.928558
408, 0.928558
409, 0.928589
410, 0.928558
411, 0.928589
412, 0.928558
413, 0.928589
414, 0.928558
415, 0.928558
416, 0.928589
417, 0.928558
418, 0.928589
419, 0.928558
420, 0.928589
421, 0.928558
422, 0.928558
423, 0.928589
424, 0.928558
425, 0.928589
426, 0.928558
427, 0.928589
428, 0.928558
429, 0.928558
430, 0.928589
431, 0.928558
432, 0.928589
433, 0.928558
434, 0.928589
435, 0.928558
436, 0.928558
437, 0.928589
438, 0.928558
439, 0.928589
440, 0.928558
441, 0.928589
442, 0.928558
443, 0.928558
444, 0.928589
445, 0.928558
446, 0.928589
447, 0.928558
448, 0.928589
449, 0.928558
450, 0.928558
451, 0.928589
452, 0.928558
453, 0.928589
454, 0.928558
455, 0.928589
456, 0.928558
457, 0.928558
458, 0.928589
459, 0.928558
460, 0.928589
461, 0.928558
462, 0.928589
463, 0.928558
464, 0.928558
465, 0.928589
466, 0.928558
467, 0.928589
468, 0.928558
469, 0.928589
470, 0.928558
471, 0.928558
472, 0.928589
473, 0.928558
474, 0.928589
475, 0.928558
476, 0.928589
477, 0.928558
478, 0.928558
479, 0.928589
480, 0.928558
481, 0.928589
482, 0.928558
483, 0.928589
484, 0.928558
485, 0.928558
486, 0.928589
487, 0.928558
488, 0.928589
489, 0.928558
490, 0.928589
491, 0.928558
492, 0.928558
493, 0.928589
494, 0.928558
495, 0.928589
496, 0.928558
497, 0.928589
498, 0.928558
499, 0.928558
500, 0.928589
501, -0.5
502, -1.92859
503, -1.92856
504, -1.92856
505, -1.92859
506, -1.92856
507, -1.92859
508, -1.92856
509, -1.92859
510, -1.92856
511, -1.92856
512, -1.92859
513, -1.92856
514, -1.92859
515, -1.92856
516, -1.92859
517, -1.92856
518, -1.92856
519, -1.92859
520, -1.92856
521, -1.92859
522, -1.92856
523, -1.92859
524, -1.92856
525, -1.92856
526, -1.92859
527, -1.92856
528, -1.92859
529, -1.92856
530, -1.92859
531, -1.92856
532, -1.92856
533, -1.92859
534, -1.92856
535, -1.92859
536, -1.92856
537, -1.92859
538, -1.92856
539, -1.92856
540, -1.92859
541, -1.92856
542, -1.92859
543, -1.92856
544, -1.92859
545, -1.92856
546, -1.92856
547, -1.92859
548, -1.92856
549, -1.92859
550, -1.92856
551, -1.92859
552, -1.92856
553, -1.92856
554, -1.92859
555, -1.92856
556, -1.92859
557, -1.92856
558, -1.92859
559, -1.92856
560, -1.92856
561, -1.92859
562, -1.92856
563, -1.92859
564, -1.92856
565, -1.92859
566, -1.92856
567, -1.92856
568, -1.92859
569, -1.92856
570, -1.92859
571, -1.92856
572, -1.92859
573, -1.92856
574, -1.92856
575, -1.92859
576, -1.92856
577, -1.92859
578, -1.92856
579, -1.92859
580, -1.92856
581, -1.92856
582, -1.92859
583, -1.92856
584, -1.92859
585, -1.92856
586, -1.92859
587, -1.92856
588, -1.92856
589, -1.92859
590, -1.92856
591, -1.92859
592, -1.92856
593, -1.92859
594, -1.92856
595, -1.92856
596, -1.92859
597, -1.92856
598, -1.92859
599, -1.92856
600, -1.92859
601, -1.92856
602, -1.92856
603, -1.92859
604, -1.92856
605, -1.92859
606, -1.92856
607, -1.92859
608, -1.92856
609, -1.92857
610, -1.92857
611, -1.92857
612, -1.92856
613, -1.92857
614, -1.92857
615, -1.92857
616, -1.92857
617, -1.92857
618, -1.92857
619, -1.92856
620, -1.92857
621, -1.92857
622, -1.92857
623, -1.92857
624, -1.92857
625, -1.92857
626, -1.92856
627, -1.92857
628, -1.92857
629, -1.92857
630, -1.92857
631, -1.92857
632, -1.92857
633, -1.92856
634, -1.92857
635, -1.92857
636, -1.92857
637, -1.92857
638, -1.92857
639, -1.92857
640, -1.92856
641, -1.92857
642, -1.92857
643, -1.92857
644, -1.92857
645, -1.92857
646, -1.92857
647, -1.92856
648, -1.92857
649, -1.92857
650, -1.92857
651, -1.92857
652, -1.92857
653, -1.92857
654, -1.92856
655, -1.92857
656, -1.92857
657, -1.92857
658, -1.92857
659, -1.92857
660, -1.92857
661, -1.92856
662, -1.92857
663, -1.92857
664, -1.92857
665, -1.92857
666, -1.92857
667, -1.92857
668, -1.92856
669, -1.92857
670, -1.92857
671, -1.92857
672, -1.92857
673, -1.92857
674, -1.92857
675, -1.92857
676, -1.92857
677, -1.92857
678, -1.92857
679, -1.92857
680, -1.92857
681, -1.92857
682, -1.92857
683, -1.92857
684, -1.92857
685, -1.92857
686, -1.92857
687, -1.92857
688, -1.92857
689, -1.92857
690, -1.92857
691, -1.92857
692, -1.92857
693, -1.92857
694, -1.92857
695, -1.92857
696, -1.92857
697, -1.92857
698, -1.92857
699, -1.92857
700, -1.92857
701, -1.92857
702, -1.92857
703, -1.92857
704, -1.92857
705, -1.92857
706, -1.92857
707, -1.92857
708, -1.92857
709, -1.92857
710, -1.92857
711, -1.92857
712, -1.92857
713, -1.92857
714, -1.92857
715, -1.92857
716, -1.92857
717, -1.92857
718, -1.92857
719, -1.92857
720, -1.92857
721, -1.92857
722, -1.92857
723, -1.92857
724, -1.92857
725, -1.92857
726, -1.92857
727, -1.92857
728, -1.92857
729, -1.92857
730, -1.92857
731, -1.92857
732, -1.92857
733, -1.92857
734, -1.92857
735, -1.92857
736, -1.92857
737, -1.92857
738, -1.92857
739, -1.92857
740, -1.92857
741, -1.92857
742, -1.92857
743, -1.92857
744, -1.92857
745, -1.92857
746, -1.92857
747, -1.92857
748, -1.92857
749, -1.92857
750, -1.92857
751, -1.92857
752, -1.92857
753, -1.92857
754, -1.92857
755, -1.92857
756, -1.92857
757, -1.92857
758, -1.92857
759, -1.92857
760, -1.92857
761, -1.92857
762, -1.92857
763, -1.92857
764, -1.92857
765, -1.92857
766, -1.92857
767, -1.92857
768, -1.92857
769, -1.92857
770, -1.92857
771, -1.92857
772, -1.92857
773, -1.92857
774, -1.92857
775, -1.92857
776, -1.92857
777, -1.92857
778, -1.92857
779, -1.92857
780, -1.92857
781, -1.92857
782, -1.92857
783, -1.92857
784, -1.92857
785, -1.92857
786, -1.92857
787, -1.92857
788, -1.92857
789, -1.92857
790, -1.92857
791, -1.92857
792, -1.92857
793, -1.92857
794, -1.92857
795, -1.92857
796, -1.92857
797, -1.92857
798, -1.92857
799, -1.92857
800, -1.92857
801, -1.92857
802, -1.92857
803, -1.92857
804, -1.92857
805, -1.92857
806, -1.92857
807, -1.92857
808, -1.92857
809, -1.92857
810, -1.92857
811, -1.92857
812, -1.92857
813, -1.92857
814, -1.92857
815, -1.92856
816, -1.92857
817, -1.92857
818, -1.92857
819, -1.92857
820, -1.92857
821, -1.92857
822, -1.92856
823, -1.92857
824, -1.92857
825, -1.92857
826, -1.92857
827, -1.92857
828, -1.92857
829, -1.92856
830, -1.92857
831, -1.92857
832, -1.92857
833, -1.92857
834, -1.92857
835, -1.92857
836, -1.92856
837, -1.92857
838, -1.92857
839, -1.92857
840, -1.92857
841, -1.92857
842, -1.92857
843, -1.92856
844, -1.92857
845, -1.92857
846, -1.92857
847, -1.92857
848, -1.92857
849, -1.92857
850, -1.92856
851, -1.92857
852, -1.92857
853, -1.92857
854, -1.92857
855, -1.92857
856, -1.92857
857, -1.92856
858, -1.92857
859, -1.92857
860, -1.92857
861, -1.92857
862, -1.92857
863, -1.92857
864, -1.92856
865, -1.92857
866, -1.92857
867, -1.92857
868, -1.92857
869, -1.92857
870, -1.92857
871, -1.92856
872, -1.92857
873, -1.92857
874, -1.92857
875, -1.92856
876, -1.92859
877, -1.92856
878, -1.92859
879, -1.92856
880, -1.92859
881, -1.92856
882, -1.92856
883, -1.92859
884, -1.92856
885, -1.92859
886, -1.92856
887, -1.92859
888, -1.92856
889, -1.92856
890, -1.92859
891, -1.92856
892, -1.92859
893, -1.92856
894, -1.92859
895, -1.92856
896, -1.92856
897, -1.92859
898, -1.92856
899, -1.92859
900, -1.92856
901, -1.92859
902, -1.92856
903, -1.92856
904, -1.92859
905, -1.92856
906, -1.92859
907, -1.92856
908, -1.92859
909, -1.92856
910, -1.92856
911, -1.92859
912, -1.92856
913, -1.92859
914, -1.92856
915, -1.92859
916, -1.92856
917, -1.92856
918, -1.92859
919, -1.92856
