lp_d
----------------
line no, output 1
1, 1.05
2, 1
3, 1
4, 1
5, 1
6, 1
7, 1
8, 1
9, 1
10, 1
11, 1
12, 1
13, 1
14, 1
15, 1
16, 1
17, 1
18, 1
19, 1
20, 1
21, 1
22, 1
23, 1
24, 1
25, 1
26, 0.999999
27, 1
28, 1
29, 1
30, 1
31, 1
32, 1
33, 0.999999
34, 1
35, 1
36, 1
37, 0.999999
38, 1
39, 0.999999
40, 1
41, 0.999999
42, 1
43, 0.999999
44, 0.999999
45, 1
46, 0.999999
47, 1
48, 0.999999
49, 1
50, 0.999999
51, 0.999999
52, 1
53, 0.999999
54, 1
55, 0.999999
56, 1
57, 0.999999
58, 0.999999
59, 1
60, 0.999999
61, 1
62, 0.999999
63, 1
64, 0.999999
65, 0.999999
66, 1
67, 0.999999
68, 1
69, 0.999999
70, 0.999999
71, 1
72, 1
73, 0.999996
74, 1
75, 1
76, 1
77, 0.999996
78, 1
79, 1
80, 0.999996
81, 1
82, 1
83, 1
84, 0.999996
85, 1
86, 1
87, 0.999996
88, 1
89, 1
90, 1
91, 0.999996
92, 1
93, 1
94, 0.999996
95, 1
96, 1
97, 1
98, 0.999996
99, 1
100, 1
101, 0.999996
102, 1
103, 1
104, 1
105, 0.999996
106, 1
107, 1
108, 0.999996
109, 1
110, 1
111, 1
112, 0.999996
113, 1
114, 1
115, 0.999996
116, 1
117, 1
118, 1
119, 0.999996
120, 1
121, 1
122, 0.999996
123, 1
124, 1
125, 1
126, 0.999996
127, 1
128, 1
129, 0.999996
130, 1
131, 1
132, 1
133, 0.999996
134, 1
135, 1
136, 0.999996
137, 1
138, 1
139, 0.999996
140, 1
141, 1
142, 1
143, 1
144, 1
145, 0.999991
146, 1
147, 1
148, 1
149, 1
150, 1
151, 1
152, 0.999991
153, 1
154, 1
155, 1
156, 1
157, 1
158, 1
159, 0.999991
160, 1
161, 1
162, 1
163, 1
164, 1
165, 1
166, 0.999991
167, 1
168, 1
169, 1
170, 1
171, 1
172, 1
173, 0.999991
174, 1
175, 1
176, 1
177, 1
178, 1
179, 1
180, 0.999991
181, 1
182, 1
183, 1
184, 1
185, 1
186, 1
187, 0.999991
188, 1
189, 1
190, 1
191, 1
192, 1
193, 1
194, 0.999991
195, 1
196, 1
197, 1
198, 1
199, 1
200, 1
201, 0.999991
202, 1
203, 1
204, 1
205, 1
206, 1
207, 1
208, 0.999991
209, 1
210, 1
211, 1
212, 1
213, 1
214, 1
215, 0.999991
216, 1
217, 1
218, 1
219, 1
220, 1
221, 1
222, 0.999991
223, 1
224, 1
225, 1
226, 1
227, 1
228, 1
229, 0.999991
230, 1
231, 1
232, 1
233, 1
234, 1
235, 1
236, 0.999991
237, 1
238, 1
239, 1
240, 1
241, 1
242, 1
243, 0.999991
244, 1
245, 1
246, 1
247, 1
248, 1
249, 1
250, 0.999991
251, 1
252, 1
253, 1
254, 1
255, 1
256, 1
257, 0.999991
258, 1
259, 1
260, 1
261, 1
262, 1
263, 1
264, 0.999991
265, 1
266, 1
267, 1
268, 1
269, 1
270, 1
271, 0.999991
272, 1
273, 1
274, 1
275, 1
276, 1
277, 0.999991
278, 1.00001
279, 0.999991
280, 1.00001
281, 0.999991
282, 0.999991
283, 1.00001
284, 0.999991
285, 1.00001
286, 0.999991
287, 1.00001
288, 0.999991
289, 0.999991
290, 1.00001
291, 0.999991
292, 1.00001
293, 0.999991
294, 1.00001
295, 0.999991
296, 0.999991
297, 1.00001
298, 0.999991
299, 1.00001
300, 0.999991
301, 1.00001
302, 0.999991
303, 0.999991
304, 1.00001
305, 0.999991
306, 1.00001
307, 0.999991
308, 1.00001
309, 0.999991
310, 0.999991
311, 1.00001
312, 0.999991
313, 1.00001
314, 0.999991
315, 1.00001
316, 0.999991
317, 0.999991
318, 1.00001
319, 0.999991
320, 1.00001
321, 0.999991
322, 1.00001
323, 0.999991
324, 0.999991
325, 1.00001
326, 0.999991
327, 1.00001
328, 0.999991
329, 1.00001
330, 0.999991
331, 0.999991
332, 1.00001
333, 0.999991
334, 1.00001
335, 0.999991
336, 1.00001
337, 0.999991
338, 0.999991
339, 1.00001
340, 0.999991
341, 1.00001
342, 0.999991
343, 1.00001
344, 0.999991
345, 0.999991
346, 1.00001
347, 0.999991
348, 1.00001
349, 0.999991
350, 1.00001
351, 0.999991
352, 0.999991
353, 1.00001
354, 0.999991
355, 1.00001
356, 0.999991
357, 1.00001
358, 0.999991
359, 0.999991
360, 1.00001
361, 0.999991
362, 1.00001
363, 0.999991
364, 1.00001
365, 0.999991
366, 0.999991
367, 1.00001
368, 0.999991
369, 1.00001
370, 0.999991
371, 1.00001
372, 0.999991
373, 0.999991
374, 1.00001
375, 0.999991
376, 1.00001
377, 0.999991
378, 1.00001
379, 0.999991
380, 0.999991
381, 1.00001
382, 0.999991
383, 1.00001
384, 0.999991
385, 1.00001
386, 0.999991
387, 0.999991
388, 1.00001
389, 0.999991
390, 1.00001
391, 0.999991
392, 1.00001
393, 0.999991
394, 0.999991
395, 1.00001
396, 0.999991
397, 1.00001
398, 0.999991
399, 1.00001
400, 0.999991
401, 0.999991
402, 1.00001
403, 0.999991
404, 1.00001
405, 0.999991
406, 1.00001
407, 0.999991
408, 0.999991
409, 1.00001
410, 0.999991
411, 1.00001
412, 0.999991
413, 1.00001
414, 0.999991
415, 0.999991
416, 1.00001
417, 0.999991
418, 1.00001
419, 0.999991
420, 1.00001
421, 0.999991
422, 0.999991
423, 1.00001
424, 0.999991
425, 1.00001
426, 0.999991
427, 1.00001
428, 0.999991
429, 0.999991
430, 1.00001
431, 0.999991
432, 1.00001
433, 0.999991
434, 1.00001
435, 0.999991
436, 0.999991
437, 1.00001
438, 0.999991
439, 1.00001
440, 0.999991
441, 1.00001
442, 0.999991
443, 0.999991
444, 1.00001
445, 0.999991
446, 1.00001
447, 0.999991
448, 1.00001
449, 0.999991
450, 0.999991
451, 1.00001
452, 0.999991
453, 1.00001
454, 0.999991
455, 1.00001
456, 0.999991
457, 0.999991
458, 1.00001
459, 0.999991
460, 1.00001
461, 0.999991
462, 1.00001
463, 0.999991
464, 0.999991
465, 1.00001
466, 0.999991
467, 1.00001
468, 0.999991
469, 1.00001
470, 0.999991
471, 0.999991
472, 1.00001
473, 0.999991
474, 1.00001
475, 0.999991
476, 1.00001
477, 0.999991
478, 0.999991
479, 1.00001
480, 0.999991
481, 1.00001
482, 0.999991
483, 1.00001
484, 0.999991
485, 0.999991
486, 1.00001
487, 0.999991
488, 1.00001
489, 0.999991
490, 1.00001
491, 0.999991
492, 0.999991
493, 1.00001
494, 0.999991
495, 1.00001
496, 0.999991
497, 1.00001
498, 0.999991
499, 0.999991
500, 1.00001
501, 0
502, -1.00001
503, -0.999991
504, -0.999991
505, -1.00001
506, -0.999991
507, -1.00001
508, -0.999991
509, -1.00001
510, -0.999991
511, -0.999991
512, -1.00001
513, -0.999991
514, -1.00001
515, -0.999991
516, -1.00001
517, -0.999991
518, -0.999991
519, -1.00001
520, -0.999991
521, -1.00001
522, -0.999991
523, -1.00001
524, -0.999991
525, -0.999991
526, -1.00001
527, -0.999991
528, -1.00001
529, -0.999991
530, -1.00001
531, -0.999991
532, -0.999991
533, -1.00001
534, -0.999991
535, -1.00001
536, -0.999991
537, -1.00001
538, -0.999991
539, -0.999991
540, -1.00001
541, -0.999991
542, -1.00001
543, -0.999991
544, -1.00001
545, -0.999991
546, -0.999991
547, -1.00001
548, -0.999991
549, -1.00001
550, -0.999991
551, -1.00001
552, -0.999991
553, -0.999991
554, -1.00001
555, -0.999991
556, -1.00001
557, -0.999991
558, -1.00001
559, -0.999991
560, -0.999991
561, -1.00001
562, -0.999991
563, -1.00001
564, -0.999991
565, -1.00001
566, -0.999991
567, -0.999991
568, -1.00001
569, -0.999991
570, -1.00001
571, -0.999991
572, -1.00001
573, -0.999991
574, -0.999991
575, -1.00001
576, -0.999991
577, -1.00001
578, -0.999991
579, -1.00001
580, -0.999991
581, -0.999991
582, -1.00001
583, -0.999991
584, -1.00001
585, -0.999991
586, -1.00001
587, -0.999991
588, -0.999991
589, -1.00001
590, -0.999991
591, -1.00001
592, -0.999991
593, -1.00001
594, -0.999991
595, -0.999991
596, -1.00001
597, -0.999991
598, -1.00001
599, -0.999991
600, -1.00001
601, -0.999991
602, -0.999991
603, -1.00001
604, -0.999991
605, -1.00001
606, -0.999991
607, -1.00001
608, -0.999991
609, -1
610, -1
611, -1
612, -0.999991
613, -1
614, -1
615, -1
616, -1
617, -1
618, -1
619, -0.999991
620, -1
621, -1
622, -1
623, -1
624, -1
625, -1
626, -0.999991
627, -1
628, -1
629, -1
630, -1
631, -1
632, -1
633, -0.999991
634, -1
635, -1
636, -1
637, -1
