lp_e
----------------
line no, output 1
1, -1
2, -0.998
3, -0.996
4, -0.994
5, -0.992
6, -0.99
7, -0.988
8, -0.986
9, -0.984
10, -0.982
11, -0.98
12, -0.978
13, -0.976
14, -0.974
15, -0.972
16, -0.97
17, -0.968
18, -0.966
19, -0.964
20, -0.962
21, -0.96
22, -0.958
23, -0.956
24, -0.954
25, -0.952
26, -0.95
27, -0.948
28, -0.946
29, -0.944
30, -0.942
31, -0.94
32, -0.938
33, -0.936
34, -0.934
35, -0.932
36, -0.93
37, -0.928
38, -0.926
39, -0.924
40, -0.922
41, -0.92
42, -0.918
43, -0.916
44, -0.914
45, -0.912
46, -0.91
47, -0.908
48, -0.906
49, -0.904
50, -0.902
51, -0.9
52, -0.898
53, -0.896
54, -0.894
55, -0.892
56, -0.89
57, -0.888
58, -0.886
59, -0.884
60, -0.882
61, -0.88
62, -0.878
63, -0.876
64, -0.874
65, -0.872
66, -0.87
67, -0.868
68, -0.866
69, -0.864
70, -0.862
71, -0.86
72, -0.858
73, -0.856
74, -0.854
75, -0.852
76, -0.85
77, -0.848
78, -0.846
79, -0.844
80, -0.842
81, -0.84
82, -0.838
83, -0.836
84, -0.834
85, -0.832
86, -0.83
87, -0.828
88, -0.826
89, -0.824
90, -0.822
91, -0.82
92, -0.818
93, -0.816
94, -0.814
95, -0.812
96, -0.81
97, -0.808
98, -0.806
99, -0.804
100, -0.802
101, -0.8
102, -0.798
103, -0.796
104, -0.794
105, -0.792
106, -0.79
107, -0.788
108, -0.786
109, -0.784
110, -0.782
111, -0.78
112, -0.778
113, -0.776
114, -0.774
115, -0.772
116, -0.77
117, -0.768
118, -0.766
119, -0.764
120, -0.762
121, -0.76
122, -0.758
123, -0.756
124, -0.754
125, -0.752
126, -0.75
127, -0.748
128, -0.746
129, -0.744
130, -0.742
131, -0.74
132, -0.738
133, -0.736
134, -0.734
135, -0.732
136, -0.73
137, -0.728
138, -0.726
139, -0.724
140, -0.722
141, -0.72
142, -0.718
143, -0.716
144, -0.714
145, -0.712
146, -0.71
147, -0.708
148, -0.706
149, -0.704
150, -0.702
151, -0.7
152, -0.698
153, -0.696
154, -0.694
155, -0.692
156, -0.69
157, -0.688
158, -0.686
159, -0.684
160, -0.682
161, -0.68
162, -0.678
163, -0.676
164, -0.674
165, -0.672
166, -0.67
167, -0.668
168, -0.666
169, -0.664
170, -0.662
171, -0.66
172, -0.658
173, -0.656
174, -0.654
175, -0.652
176, -0.65
177, -0.648
178, -0.646
179, -0.644
180, -0.642
181, -0.64
182, -0.638
183, -0.636
184, -0.634
185, -0.632
186, -0.63
187, -0.628
188, -0.626
189, -0.624
190, -0.622
191, -0.62
192, -0.618
