lp_f
----------------
line no, output 1
1, 2.71429
2, 2.988
3, 2.976
4, 2.964
5, 2.952
6, 2.94
7, 2.928
8, 2.916
9, 2.904
10, 2.892
11, 2.88
12, 2.868
13, 2.856
14, 2.844
15, 2.832
16, 2.82
17, 2.808
18, 2.796
19, 2.784
20, 2.772
21, 2.76
22, 2.748
23, 2.736
24, 2.724
25, 2.712
26, 2.70001
27, 2.688
28, 2.676
29, 2.664
30, 2.652
31, 2.64
32, 2.628
33, 2.61601
34, 2.604
35, 2.592
36, 2.58
37, 2.56801
38, 2.55599
39, 2.54401
40, 2.53199
41, 2.52001
42, 2.50799
43, 2.49601
44, 2.48401
45, 2.47199
46, 2.46001
47, 2.44799
48, 2.43601
49, 2.42399
50, 2.41201
51, 2.40001
52, 2.38799
53, 2.37601
54, 2.36399
55, 2.35201
56, 2.33999
57, 2.32801
58, 2.31601
59, 2.30399
60, 2.29201
61, 2.27999
62, 2.26801
63, 2.25599
64, 2.24401
65, 2.23201
66, 2.21999
67, 2.20801
68, 2.19599
69, 2.18401
70, 2.17201
71, 2.15999
72, 2.14799
73, 2.13602
74, 2.12399
75, 2.11199
76, 2.09999
77, 2.08802
78, 2.07599
79, 2.06399
80, 2.05202
81, 2.03999
82, 2.02799
83, 2.01599
84, 2.00402
85, 1.99199
86, 1.97999
87, 1.96802
88, 1.95599
89, 1.94399
90, 1.93199
91, 1.92002
92, 1.90799
93, 1.89599
94, 1.88402
95, 1.87199
96, 1.85999
97, 1.84799
98, 1.83602
99, 1.82399
100, 1.81199
101, 1.80002
102, 1.78799
103, 1.77599
104, 1.76399
105, 1.75202
106, 1.73999
107, 1.72799
108, 1.71602
109, 1.70399
110, 1.69199
111, 1.67999
112, 1.66802
113, 1.65599
114, 1.64399
115, 1.63202
116, 1.61999
117, 1.60799
118, 1.59599
119, 1.58402
120, 1.57199
121, 1.55999
122, 1.54802
123, 1.53599
124, 1.52399
125, 1.51199
126, 1.50002
127, 1.48799
128, 1.47599
129, 1.46402
130, 1.45199
131, 1.43999
132, 1.42799
133, 1.41602
134, 1.40399
135, 1.39199
136, 1.38002
137, 1.36799
138, 1.35599
139, 1.34402
140, 1.33199
141, 1.31999
142, 1.30799
143, 1.29599
144, 1.28399
145, 1.27204
146, 1.25999
147, 1.24799
148, 1.23599
149, 1.22399
150, 1.21199
151, 1.19999
152, 1.18804
153, 1.17599
154, 1.16399
155, 1.15199
156, 1.13999
157, 1.12799
158, 1.11599
159, 1.10404
160, 1.09199
161, 1.07999
162, 1.06799
163, 1.05599
164, 1.04399
165, 1.03199
166, 1.02004
167, 1.00799
168, 0.995994
169, 0.983993
170, 0.971994
171, 0.959994
172, 0.947994
173, 0.936036
174, 0.923993
175, 0.911994
176, 0.899994
177, 0.887994
178, 0.875994
179, 0.863995
180, 0.852036
181, 0.839994
182, 0.827994
183, 0.815994
184, 0.803994
185, 0.791995
186, 0.779994
187, 0.768035
188, 0.755995
189, 0.743995
190, 0.731994
191, 0.719994
192, 0.707994
193, 0.695994
194, 0.684033
195, 0.671994
196, 0.659994
197, 0.647994
198, 0.635995
199, 0.623995
200, 0.611994
201, 0.600033
202, 0.587994
203, 0.575994
204, 0.563995
205, 0.551995
206, 0.539994
207, 0.527995
208, 0.516033
209, 0.503995
210, 0.491995
211, 0.479994
212, 0.467994
213, 0.455995
214, 0.443995
215, 0.432032
216, 0.419994
217, 0.407995
218, 0.395995
219, 0.383995
220, 0.371994
221, 0.359994
222, 0.34803
223, 0.335995
224, 0.323995
225, 0.311996
226, 0.299995
227, 0.287995
228, 0.275995
229, 0.26403
230, 0.251995
231, 0.239994
232, 0.227995
233, 0.215995
234, 0.203995
235, 0.191995
236, 0.18003
237, 0.167995
238, 0.155995
239, 0.143995
240, 0.131995
241, 0.119995
242, 0.107995
243, 0.0960283
244, 0.0839949
245, 0.0719957
246, 0.0599952
247, 0.0479954
248, 0.0359948
249, 0.023995
250, 0.0120268
251, -4.64916e-06
252, -0.0120048
253, -0.024005
254, -0.0360041
255, -0.0480043
256, -0.0600045
257, -0.0719735
258, -0.0840049
259, -0.0960042
260, -0.108004
261, -0.120005
262, -0.132005
263, -0.144004
264, -0.155974
265, -0.168004
266, -0.180005
267, -0.192005
268, -0.204005
269, -0.216004
270, -0.228004
271, -0.239975
272, -0.252004
273, -0.264004
274, -0.276004
275, -0.288004
276, -0.300005
277, -0.311976
278, -0.324033
279, -0.335975
280, -0.348032
281, -0.359975
282, -0.371976
283, -0.384032
284, -0.395976
285, -0.408032
286, -0.419977
287, -0.432031
288, -0.443977
289, -0.455977
290, -0.468031
291, -0.479976
292, -0.49203
293, -0.503977
294, -0.51603
295, -0.527978
296, -0.539977
297, -0.55203
298, -0.563978
299, -0.57603
300, -0.587977
301, -0.600029
302, -0.611978
303, -0.623978
304, -0.636029
305, -0.647978
306, -0.660028
307, -0.671979
308, -0.684027
309, -0.695978
310, -0.707979
311, -0.720028
312, -0.731979
313, -0.744028
314, -0.75598
315, -0.768027
316, -0.77998
317, -0.79198
318, -0.804026
319, -0.81598
320, -0.828026
321, -0.83998
322, -0.852026
323, -0.863981
324, -0.87598
325, -0.888026
326, -0.899981
327, -0.912026
328, -0.92398
329, -0.936025
330, -0.947981
331, -0.959981
332, -0.972025
333, -0.983982
334, -0.996024
335, -1.00798
336, -1.02002
337, -1.03198
338, -1.04398
339, -1.05602
340, -1.06798
341, -1.08002
342, -1.09198
343, -1.10402
344, -1.11598
345, -1.12798
346, -1.14002
347, -1.15198
348, -1.16402
349, -1.17598
350, -1.18802
351, -1.19998
352, -1.21198
353, -1.22402
354, -1.23598
355, -1.24802
356, -1.25998
357, -1.27202
358, -1.28398
359, -1.29598
360, -1.30802
361, -1.31998
362, -1.33202
363, -1.34398
364, -1.35602
365, -1.36798
366, -1.37998
367, -1.39202
